"District
Number",District,"Campus
Number",Campus,Region,County,"School
Type","Grades
Served","Alternative
Education
Accountability",Charter,"Number of
Students","%
Economically
Disadvantaged","% EB/EL
Students","Overall
Rating","Overall
Score","Student
Achievement
Rating","Student
Achievement
Score","School
Progress
Rating","School
Progress
Score","Academic
Growth
Rating","Academic
Growth
Score","Relative
Performance
Rating","Relative
Performance
Score","Closing
the Gaps Rating","Closing
the Gaps Score","Support
Label","Public
Education
Grant","Distinction
ELA/Reading","Distinction
Mathematics","Distinction
Science","Distinction
Soc Studies","Distinction
Progress","Distinction
Postsecondary
Readiness",,"US Congress
District","US Congress
Election District","TX House
District","TX House
Election District","TX Senate
District","TX Senate
Election District","Campus Enrollment
Type"
178904,CORPUS CHRISTI ISD,178904009,COLES H S AND EDUCATIONAL CENTER,REGION 02: CORPUS CHRISTI,NUECES,High School,07-דצמ,Yes,No,145,89.70%,5.50%,B,88,B,89,B,81,D,65,B,81,B,85,,,,,,,,,,27,27,34,34,20,20,SELECTIVE ENROL SCHL-CRITERIA-BASED
178904,CORPUS CHRISTI ISD,178904012,NUECES CO J J A E P,REGION 02: CORPUS CHRISTI,NUECES,High School,08-נוב,No,No,7,100%,0%,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,27,27,32,32,20,20,SPECIAL ASSIGNMENT SCHOOL
178904,CORPUS CHRISTI ISD,178904014,HAROLD T BRANCH ACADEMY FOR CAREER & TECHNICAL ED,REGION 02: CORPUS CHRISTI,NUECES,High School,09-דצמ,No,No,256,72.30%,7.80%,A,97,A,96,A,95,B,89,A,95,A,98,,,Not Earned,Not Earned,Not Earned,Not Earned,Earned,Not Earned,,27,27,34,34,20,20,SELECTIVE ENROL SCHL-CRITERIA-BASED
178904,CORPUS CHRISTI ISD,178904015,VETERANS MEMORIAL H S,REGION 02: CORPUS CHRISTI,NUECES,High School,09-דצמ,No,No,"1,949",35.70%,1.80%,B,89,B,89,B,83,B,83,B,83,B,89,,,Not Earned,Not Earned,Not Earned,Earned,Not Earned,Not Earned,,27,27,32,32,27,27,COMBINED ENROLLMENT TYPE SCHOOL
178904,CORPUS CHRISTI ISD,178904041,BAKER MIDDLE,REGION 02: CORPUS CHRISTI,NUECES,Middle School,06-אוג,No,No,880,65.10%,6.70%,B,82,B,82,B,88,D,67,B,88,D,68,,,Earned,Earned,Not Earned,Earned,Not Earned,Earned,,27,27,34,34,20,20,COMBINED ENROLLMENT TYPE SCHOOL
178904,CORPUS CHRISTI ISD,178904043,BROWNE MIDDLE,REGION 02: CORPUS CHRISTI,NUECES,Middle School,06-אוג,No,No,577,83.70%,6.40%,C,72,D,64,C,72,D,65,C,72,C,72,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Earned,,27,27,34,34,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178904,CORPUS CHRISTI ISD,178904046,CUNNINGHAM MIDDLE AT SOUTH PARK,REGION 02: CORPUS CHRISTI,NUECES,Middle School,06-אוג,No,No,783,93.20%,12.40%,F,59,F,57,D,63,F,56,D,63,F,57,Targeted Support,TRUE,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,,27,27,34,34,20,20,COMBINED ENROLLMENT TYPE SCHOOL
178904,CORPUS CHRISTI ISD,178904047,DRISCOLL MIDDLE,REGION 02: CORPUS CHRISTI,NUECES,Middle School,06-אוג,No,No,661,94.90%,12.10%,F,51,F,52,F,56,F,56,F,56,F,40,Comprehensive Identified,TRUE,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,,27,27,34,34,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178904,CORPUS CHRISTI ISD,178904048,HAAS MIDDLE,REGION 02: CORPUS CHRISTI,NUECES,Middle School,06-אוג,No,No,646,88.90%,7.90%,D,69,D,62,C,72,F,56,C,72,D,67,Targeted Support,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,,27,27,32,32,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178904,CORPUS CHRISTI ISD,178904049,HAMLIN MIDDLE,REGION 02: CORPUS CHRISTI,NUECES,Middle School,06-אוג,No,No,481,84.60%,6.90%,D,69,D,62,C,70,F,57,C,70,D,67,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,,27,27,32,32,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178904,CORPUS CHRISTI ISD,178904050,MARTIN MIDDLE,REGION 02: CORPUS CHRISTI,NUECES,Middle School,06-אוג,No,No,441,93.70%,24.30%,F,51,F,54,F,58,F,57,F,58,F,36,Comprehensive Identified,TRUE,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,,27,27,34,34,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178904,CORPUS CHRISTI ISD,178904054,STUDENT SUPPORT CENTER,REGION 02: CORPUS CHRISTI,NUECES,Elem/Secondary,04-דצמ,No,No,96,79.20%,5.20%,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,27,27,34,34,20,20,SPECIAL ASSIGNMENT SCHOOL
178904,CORPUS CHRISTI ISD,178904055,KAFFIE MIDDLE,REGION 02: CORPUS CHRISTI,NUECES,Middle School,06-אוג,No,No,762,46.30%,3.10%,B,82,B,82,B,80,C,73,B,80,B,82,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,,27,27,32,32,20,20,COMBINED ENROLLMENT TYPE SCHOOL
178904,CORPUS CHRISTI ISD,178904056,GRANT MIDDLE,REGION 02: CORPUS CHRISTI,NUECES,Middle School,06-אוג,No,No,789,58.60%,4.60%,C,72,C,72,C,70,D,62,C,70,C,72,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,,27,27,32,32,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178904,CORPUS CHRISTI ISD,178904057,ADKINS MIDDLE,REGION 02: CORPUS CHRISTI,NUECES,Middle School,06-אוג,No,No,956,47.80%,4.80%,C,77,C,77,C,72,D,65,C,72,C,76,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,,27,27,32,32,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178904,CORPUS CHRISTI ISD,178904101,ALLEN EL,REGION 02: CORPUS CHRISTI,NUECES,Elementary,PK - 05,No,No,217,94.90%,23.50%,D,68,D,60,D,69,D,68,D,69,D,64,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,27,27,34,34,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178904,CORPUS CHRISTI ISD,178904104,MARY HELEN BERLANGA EL,REGION 02: CORPUS CHRISTI,NUECES,Elementary,PK - 05,No,No,497,91.50%,12.30%,C,72,D,64,C,73,C,73,C,70,C,70,,,Not Earned,Not Earned,Earned,,Not Earned,Not Earned,,27,27,34,34,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178904,CORPUS CHRISTI ISD,178904106,HICKS EL,REGION 02: CORPUS CHRISTI,NUECES,Elementary,PK - 05,No,No,545,94.70%,13.20%,B,80,C,72,B,81,B,80,B,81,C,76,,,Not Earned,Earned,Earned,,Earned,Earned,,27,27,34,34,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178904,CORPUS CHRISTI ISD,178904107,WYNN SEALE METROPOLITAN SCHOOL OF DESIGN,REGION 02: CORPUS CHRISTI,NUECES,Elementary,PK - 06,No,No,592,74.50%,4.90%,C,78,C,75,B,81,C,70,B,81,C,72,,,Not Earned,Not Earned,Not Earned,,Not Earned,Earned,,27,27,34,34,20,20,SELECTIVE ENROL SCHL-CRITERIA-BASED
178904,CORPUS CHRISTI ISD,178904108,CROCKETT EL,REGION 02: CORPUS CHRISTI,NUECES,Elementary,PK - 05,No,No,301,95.30%,18.90%,C,78,F,57,B,80,B,80,D,60,C,73,,,Not Earned,Not Earned,Not Earned,,Earned,Not Earned,,27,27,34,34,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178904,CORPUS CHRISTI ISD,178904110,EVANS SES,REGION 02: CORPUS CHRISTI,NUECES,Elementary,PK - 05,No,No,219,98.20%,5.50%,B,80,F,58,B,83,B,83,D,63,C,73,,,Not Earned,Not Earned,Not Earned,,Earned,Not Earned,,27,27,34,34,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178904,CORPUS CHRISTI ISD,178904111,FANNIN EL,REGION 02: CORPUS CHRISTI,NUECES,Elementary,EE - 05,No,No,360,92.80%,11.10%,D,69,D,62,D,69,D,63,D,69,C,72,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,27,27,34,34,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178904,CORPUS CHRISTI ISD,178904115,GARCIA EL,REGION 02: CORPUS CHRISTI,NUECES,Elementary,PK - 05,No,No,545,93.60%,15.20%,C,77,C,71,C,79,C,70,C,79,C,73,,,Not Earned,Not Earned,Not Earned,,Not Earned,Earned,,27,27,34,34,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178904,CORPUS CHRISTI ISD,178904116,GIBSON EL,REGION 02: CORPUS CHRISTI,NUECES,Elementary,PK - 05,No,No,390,96.70%,16.90%,D,62,F,58,D,63,F,58,D,63,D,60,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,27,27,34,34,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178904,CORPUS CHRISTI ISD,178904117,HOUSTON EL,REGION 02: CORPUS CHRISTI,NUECES,Elementary,PK - 05,No,No,306,91.80%,12.10%,C,79,C,73,B,82,C,70,B,82,C,72,,,Not Earned,Earned,Earned,,Not Earned,Earned,,27,27,34,34,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178904,CORPUS CHRISTI ISD,178904118,KOSTORYZ EL,REGION 02: CORPUS CHRISTI,NUECES,Elementary,PK - 05,No,No,384,87.80%,11.50%,B,80,C,73,B,81,C,74,B,81,C,77,,,Earned,Not Earned,Not Earned,,Not Earned,Earned,,27,27,34,34,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178904,CORPUS CHRISTI ISD,178904121,LOS ENCINOS SES,REGION 02: CORPUS CHRISTI,NUECES,Elementary,PK - 05,No,No,279,89.20%,16.10%,C,79,C,74,B,83,D,69,B,83,C,70,,,Earned,Earned,Not Earned,,Not Earned,Earned,,27,27,34,34,27,27,ZONED SCHOOL-TRANSFERS ACCEPTED
178904,CORPUS CHRISTI ISD,178904122,SHAW SES,REGION 02: CORPUS CHRISTI,NUECES,Elementary,PK - 05,No,No,359,96.10%,20.30%,C,73,D,65,C,75,C,75,C,73,D,69,,,Not Earned,Not Earned,Earned,,Earned,Earned,,27,27,34,34,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178904,CORPUS CHRISTI ISD,178904123,MEADOWBROOK EL,REGION 02: CORPUS CHRISTI,NUECES,Elementary,EE - 05,No,No,332,84.60%,8.10%,C,74,D,65,C,75,C,75,C,70,C,70,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,27,27,32,32,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178904,CORPUS CHRISTI ISD,178904124,MENGER EL,REGION 02: CORPUS CHRISTI,NUECES,Elementary,EE - 05,No,No,271,83%,7.70%,B,86,C,77,B,86,B,86,B,85,B,86,,,Earned,Earned,Not Earned,,Earned,Earned,,27,27,34,34,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178904,CORPUS CHRISTI ISD,178904125,MONTCLAIR EL,REGION 02: CORPUS CHRISTI,NUECES,Elementary,KG - 05,No,No,321,83.20%,3.40%,C,78,C,72,C,79,C,74,C,79,C,74,,,Not Earned,Not Earned,Not Earned,,Not Earned,Earned,,27,27,32,32,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178904,CORPUS CHRISTI ISD,178904127,OAK PARK SPECIAL EMPHASIS SCHOOL,REGION 02: CORPUS CHRISTI,NUECES,Elementary,PK - 05,No,No,517,96.30%,11.60%,D,69,F,58,C,70,C,70,D,63,D,68,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,27,27,34,34,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178904,CORPUS CHRISTI ISD,178904130,SANDERS EL,REGION 02: CORPUS CHRISTI,NUECES,Elementary,EE - 05,No,No,311,83.30%,4.50%,B,82,D,67,B,86,B,86,C,72,C,74,,,Not Earned,Not Earned,Not Earned,,Earned,Not Earned,,27,27,34,34,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178904,CORPUS CHRISTI ISD,178904132,SCHANEN ESTATES EL,REGION 02: CORPUS CHRISTI,NUECES,Elementary,EE - 05,No,No,398,87.20%,5.50%,B,82,C,76,B,84,C,75,B,84,C,78,,,Earned,Earned,Not Earned,,Not Earned,Earned,,27,27,34,34,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178904,CORPUS CHRISTI ISD,178904134,SMITH EL,REGION 02: CORPUS CHRISTI,NUECES,Elementary,PK - 05,No,No,421,81.90%,7.40%,B,83,C,76,B,84,C,78,B,84,C,79,,,Not Earned,Earned,Earned,,Earned,Earned,,27,27,32,32,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178904,CORPUS CHRISTI ISD,178904136,TRAVIS EL,REGION 02: CORPUS CHRISTI,NUECES,Elementary,EE - 05,No,No,405,98.30%,3.70%,D,69,F,58,D,69,D,69,D,63,C,71,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,27,27,34,34,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178904,CORPUS CHRISTI ISD,178904138,CALK-WILSON EL,REGION 02: CORPUS CHRISTI,NUECES,Elementary,PK - 05,No,No,689,84.60%,7.80%,C,77,C,72,C,79,D,69,C,79,C,73,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,27,27,32,32,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178904,CORPUS CHRISTI ISD,178904139,WINDSOR PARK G/T,REGION 02: CORPUS CHRISTI,NUECES,Elementary,01-מאי,No,No,609,29.40%,4.30%,A,97,A,98,A,97,A,95,A,97,A,96,,,Earned,Earned,Earned,,Earned,Earned,,27,27,32,32,20,20,SELECTIVE ENRL SCHL-SPCL PGM-BASED
178904,CORPUS CHRISTI ISD,178904140,WOODLAWN EL,REGION 02: CORPUS CHRISTI,NUECES,Elementary,PK - 05,No,No,313,85%,5.40%,C,76,C,71,C,77,C,74,C,77,C,72,,,Not Earned,Not Earned,Not Earned,,Not Earned,Earned,,27,27,32,32,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178904,CORPUS CHRISTI ISD,178904141,YEAGER EL,REGION 02: CORPUS CHRISTI,NUECES,Elementary,PK - 05,No,No,281,88.30%,9.30%,C,73,D,65,C,74,C,74,C,72,C,70,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,27,27,34,34,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178904,CORPUS CHRISTI ISD,178904142,ZAVALA EL,REGION 02: CORPUS CHRISTI,NUECES,Elementary,EE - 05,No,No,429,97.70%,20%,D,67,F,56,D,68,D,68,F,58,D,64,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,27,27,34,34,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178904,CORPUS CHRISTI ISD,178904146,CLUB ESTATES,REGION 02: CORPUS CHRISTI,NUECES,Elementary,KG - 05,No,No,369,69.60%,3.80%,B,82,C,78,B,84,C,75,B,84,C,77,,,Not Earned,Not Earned,Not Earned,,Not Earned,Earned,,27,27,32,32,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178904,CORPUS CHRISTI ISD,178904148,MOORE EL,REGION 02: CORPUS CHRISTI,NUECES,Elementary,EE - 05,No,No,501,90%,13.60%,C,79,C,72,B,80,C,78,B,80,C,77,,,Earned,Not Earned,Earned,,Earned,Earned,,27,27,32,32,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178904,CORPUS CHRISTI ISD,178904149,MIRELES EL,REGION 02: CORPUS CHRISTI,NUECES,Elementary,PK - 05,No,No,607,42.50%,4.10%,B,88,B,88,B,82,B,82,B,82,B,89,,,Earned,Not Earned,Not Earned,,Earned,Earned,,27,27,32,32,27,27,ZONED SCHOOL-TRANSFERS ACCEPTED
178904,CORPUS CHRISTI ISD,178904150,GALVAN EL,REGION 02: CORPUS CHRISTI,NUECES,Elementary,EE - 05,No,No,511,80.80%,8%,C,78,C,73,B,80,C,73,B,80,C,72,,,Not Earned,Not Earned,Earned,,Not Earned,Not Earned,,27,27,34,34,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178904,CORPUS CHRISTI ISD,178904151,JONES EL,REGION 02: CORPUS CHRISTI,NUECES,Elementary,EE - 05,No,No,549,61.90%,5.10%,B,80,C,77,B,81,C,74,B,81,C,77,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,27,27,32,32,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178904,CORPUS CHRISTI ISD,178904152,BARNES EL,REGION 02: CORPUS CHRISTI,NUECES,Elementary,EE - 05,No,No,657,55.60%,5.30%,A,92,B,86,A,92,A,92,B,85,A,92,,,Not Earned,Earned,Not Earned,,Earned,Earned,,27,27,32,32,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178904,CORPUS CHRISTI ISD,178904153,EARLY CHILDHOOD DEVELOPMENT CTR,REGION 02: CORPUS CHRISTI,NUECES,Elementary,EE - PK,No,No,137,67.20%,10.20%,A,92,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,27,27,32,32,20,20,SELECTIVE ENROL SCHL-CRITERIA-BASED
178904,CORPUS CHRISTI ISD,178904154,DAWSON EL,REGION 02: CORPUS CHRISTI,NUECES,Elementary,PK - 05,No,No,479,63.50%,4%,B,84,C,79,B,83,B,83,B,83,B,86,,,Not Earned,Not Earned,Not Earned,,Earned,Earned,,27,27,32,32,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178904,CORPUS CHRISTI ISD,178904157,FAYE WEBB EL,REGION 02: CORPUS CHRISTI,NUECES,Elementary,EE - 05,No,No,706,52%,8.60%,B,85,B,85,B,85,B,85,B,84,B,86,,,Not Earned,Not Earned,Not Earned,,Earned,Earned,,27,27,32,32,20,20,COMBINED ENROLLMENT TYPE SCHOOL
178904,CORPUS CHRISTI ISD,178904158,KOLDA EL,REGION 02: CORPUS CHRISTI,NUECES,Elementary,PK - 05,No,No,874,36.50%,4.70%,A,91,A,91,B,87,B,87,B,85,A,92,,,Not Earned,Not Earned,Not Earned,,Earned,Earned,,27,27,32,32,27,27,ZONED SCHOOL-TRANSFERS ACCEPTED
178905,DRISCOLL ISD,,,REGION 02: CORPUS CHRISTI,NUECES,District,,No,No,284,92.60%,4.60%,B,89,B,80,B,89,B,85,B,89,B,88,,,,,,,,,,,,,,,,
178905,DRISCOLL ISD,178905041,DRISCOLL EL & MIDDLE,REGION 02: CORPUS CHRISTI,NUECES,Elementary,PK - 08,No,No,284,92.60%,4.60%,B,89,B,80,B,89,B,85,B,89,B,88,,,Earned,Earned,Earned,Earned,Earned,Earned,,27,27,34,34,27,27,ZONED SCHOOL-TRANSFERS ACCEPTED
178906,LONDON ISD,,,REGION 02: CORPUS CHRISTI,NUECES,District,,No,No,"1,576",17.40%,1.50%,A,92,A,91,B,87,B,87,B,81,A,95,,,,,,,,Not Earned,,,,,,,,
178906,LONDON ISD,178906001,LONDON H S,REGION 02: CORPUS CHRISTI,NUECES,High School,09-דצמ,No,No,507,18.10%,0.80%,A,91,B,88,B,88,B,88,B,80,A,98,,,Earned,Earned,Not Earned,Not Earned,Earned,Not Earned,,27,27,32,32,27,27,COMBINED ENROLLMENT TYPE SCHOOL
178906,LONDON ISD,178906041,LONDON MIDDLE,REGION 02: CORPUS CHRISTI,NUECES,Middle School,06-אוג,No,No,393,14.20%,1.30%,A,94,A,94,A,91,A,91,B,88,A,94,,,Earned,Earned,Earned,Earned,Earned,Earned,,27,27,32,32,27,27,COMBINED ENROLLMENT TYPE SCHOOL
178906,LONDON ISD,178906101,LONDON EL,REGION 02: CORPUS CHRISTI,NUECES,Elementary,PK - 02,No,No,344,19.80%,2%,A,91,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,27,27,32,32,27,27,COMBINED ENROLLMENT TYPE SCHOOL
178906,LONDON ISD,178906103,LONDON INT,REGION 02: CORPUS CHRISTI,NUECES,Elementary,03-מאי,No,No,332,17.80%,2.40%,A,91,A,91,C,79,C,79,C,73,A,92,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,27,27,32,32,27,27,COMBINED ENROLLMENT TYPE SCHOOL
178908,PORT ARANSAS ISD,,,REGION 02: CORPUS CHRISTI,NUECES,District,,No,No,545,28.40%,2%,A,90,A,91,B,84,C,78,B,84,B,89,,,,,,,,Not Earned,,,,,,,,
178908,PORT ARANSAS ISD,178908001,PORT ARANSAS H S,REGION 02: CORPUS CHRISTI,NUECES,High School,09-דצמ,No,No,204,19.10%,1%,A,95,A,94,B,89,B,80,B,89,A,97,,,Not Earned,Earned,Not Earned,Earned,Not Earned,Earned,,27,27,32,32,27,27,ZONED SCHOOL-TRANSFERS ACCEPTED
178908,PORT ARANSAS ISD,178908041,BRUNDRETT MIDDLE,REGION 02: CORPUS CHRISTI,NUECES,Middle School,06-אוג,No,No,115,31.30%,0%,A,90,A,90,B,85,B,85,B,82,A,90,,,Not Earned,Not Earned,Earned,Not Earned,Earned,Not Earned,,27,27,32,32,27,27,ZONED SCHOOL-TRANSFERS ACCEPTED
178908,PORT ARANSAS ISD,178908101,OLSEN EL,REGION 02: CORPUS CHRISTI,NUECES,Elementary,PK - 05,No,No,226,35.40%,4%,B,81,B,86,C,77,D,68,C,77,C,70,,,Not Earned,Not Earned,Earned,,Not Earned,Not Earned,,27,27,32,32,27,27,ZONED SCHOOL-TRANSFERS ACCEPTED
178909,ROBSTOWN ISD,,,REGION 02: CORPUS CHRISTI,NUECES,District,,No,No,"2,541",91%,3.90%,D,66,D,64,D,67,D,65,D,67,D,65,,,,,,,,Not Earned,,,,,,,,
178909,ROBSTOWN ISD,178909001,ROBSTOWN EARLY COLLEGE H S,REGION 02: CORPUS CHRISTI,NUECES,High School,09-דצמ,No,No,741,89.60%,3.50%,C,73,C,74,C,76,C,70,C,76,D,65,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,,27,27,34,34,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178909,ROBSTOWN ISD,178909005,SALAZAR CROSSROADS ACADEMY,REGION 02: CORPUS CHRISTI,NUECES,High School,09-דצמ,Yes,No,17,94.10%,0%,D,65,F,57,D,65,Not Rated,.,D,65,Not Rated,.,,,,,,,,,,27,27,34,34,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178909,ROBSTOWN ISD,178909041,SEALE J H,REGION 02: CORPUS CHRISTI,NUECES,Middle School,06-אוג,No,No,521,89.60%,5%,F,59,F,55,F,59,F,59,F,59,D,65,Targeted Support,TRUE,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,,27,27,34,34,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178909,ROBSTOWN ISD,178909101,SAN PEDRO FINE ARTS ACADEMY,REGION 02: CORPUS CHRISTI,NUECES,Elementary,PK - 05,No,No,254,92.50%,3.10%,D,68,F,56,D,69,D,69,F,59,D,64,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,27,27,34,34,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178909,ROBSTOWN ISD,178909103,LOTSPEICH LEADERSHIP ACADEMY,REGION 02: CORPUS CHRISTI,NUECES,Elementary,EE - 05,No,No,348,94.50%,3.70%,D,69,F,55,C,70,C,70,F,57,D,67,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,27,27,34,34,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178909,ROBSTOWN ISD,178909105,ROBERT DRISCOLL JR STEM ACADEMY,REGION 02: CORPUS CHRISTI,NUECES,Elementary,PK - 05,No,No,660,91.20%,3.90%,D,67,D,62,D,69,F,57,D,69,D,61,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,27,27,34,34,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178912,TULOSO-MIDWAY ISD,,,REGION 02: CORPUS CHRISTI,NUECES,District,,No,No,"3,647",65%,8.10%,B,81,C,79,B,82,C,72,B,82,C,77,,,,,,,,Not Earned,,,,,,,,
178912,TULOSO-MIDWAY ISD,178912001,TULOSO-MIDWAY H S,REGION 02: CORPUS CHRISTI,NUECES,High School,09-דצמ,No,No,"1,062",57.30%,6%,C,79,B,81,B,82,D,64,B,82,C,72,,,Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,,27,27,34,34,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178912,TULOSO-MIDWAY ISD,178912002,TULOSO-MIDWAY ACADEMIC CAREER CENTER,REGION 02: CORPUS CHRISTI,NUECES,High School,09-דצמ,No,No,39,79.50%,10.30%,F,51,F,55,F,45,Not Rated,.,F,45,F,41,Comprehensive Identified,,Not Earned,Not Earned,Not Earned,Not Earned,,Not Earned,,27,27,34,34,20,20,SELECTIVE ENROL SCHL-CRITERIA-BASED
178912,TULOSO-MIDWAY ISD,178912041,TULOSO-MIDWAY MIDDLE,REGION 02: CORPUS CHRISTI,NUECES,Middle School,06-אוג,No,No,801,64.30%,9.90%,A,90,B,84,A,90,B,82,A,90,A,91,,,Earned,Earned,Earned,Earned,Earned,Earned,,27,27,34,34,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178912,TULOSO-MIDWAY ISD,178912101,TULOSO-MIDWAY PRI,REGION 02: CORPUS CHRISTI,NUECES,Elementary,EE - 02,No,No,855,74%,7.60%,C,76,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,27,27,34,34,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178912,TULOSO-MIDWAY ISD,178912104,TULOSO-MIDWAY INT,REGION 02: CORPUS CHRISTI,NUECES,Elementary,03-מאי,No,No,890,65.70%,9.20%,C,76,C,74,C,77,C,73,C,77,C,73,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,27,27,34,34,20,20,ZONED SCHOOL-TRANSFERS ACCEPTED
178913,BANQUETE ISD,,,REGION 02: CORPUS CHRISTI,NUECES,District,,No,No,843,72.60%,2.70%,C,79,C,78,B,82,C,70,B,82,C,71,,,,,,,,Earned,,,,,,,,
178913,BANQUETE ISD,178913001,BANQUETE H S,REGION 02: CORPUS CHRISTI,NUECES,High School,09-דצמ,No,No,275,67.60%,2.90%,B,80,B,81,B,82,D,69,B,82,C,76,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Earned,,27,27,34,34,27,27,ZONED SCHOOL-TRANSFERS ACCEPTED
178913,BANQUETE ISD,178913041,BANQUETE J H,REGION 02: CORPUS CHRISTI,NUECES,Middle School,06-אוג,No,No,186,80.60%,3.20%,B,84,C,78,B,88,C,73,B,88,C,74,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Earned,,27,27,34,34,27,27,ZONED SCHOOL-TRANSFERS ACCEPTED
